codi,nom,grup
60101,"Tècnic superior en restauració","Cuina i pastisseria"
60102,"Tècnic especialista en hostaleria","Cuina i pastisseria"
60301,"Tècnic superior en estètica",Estètica
60302,"Tècnic especialista en estètica",Estètica
60401,"Tècnic superior en producció de fusta i moble","Fabricació i instal·lació de fusteria i mobles"
60402,"Tècnic superior en desenvolupament de productes en fusteria i moble","Fabricació i instal·lació de fusteria i mobles"
60403,"Tècnic especialista en construcció industrial de fusta","Fabricació i instal·lació de fusteria i mobles"
60404,"Tècnic especialista ebenista","Fabricació i instal·lació de fusteria i mobles"
60405,"Tècnic especialista en fusta","Fabricació i instal·lació de fusteria i mobles"
60406,"Tècnic especialista modelista de fosa","Fabricació i instal·lació de fusteria i mobles"
60407,"Tècnic especialista en disseny i fabricació de mobles","Fabricació i instal·lació de fusteria i mobles"
60901,"Tècnic superior en automoció","Manteniment vehicles"
60902,"Tècnic especialista en mecànica i electricitat de l’automòbil","Manteniment vehicles"
60903,"Tècnic especialista en automoció","Manteniment vehicles"
60904,"Tècnic especialista en manteniment de màquines i equips de construcció i obres","Manteniment vehicles"
61101,"Tècnic superior en producció per mecanització","Mecanitazació i manteniment de màquines"
61102,"Tècnic especialista en muntatge i construcció de maquinària","Mecanitazació i manteniment de màquines"
61103,"Tècnic especialista en micromecànica de màquines eines","Mecanitazació i manteniment de màquines"
61104,"Tècnic especialista en micromecànica d’instruments","Mecanitazació i manteniment de màquines"
61105,"Tècnic especialista instrumentista en sistemes de mesura","Mecanitazació i manteniment de màquines"
61106,"Tècnic especialista en utillatges i muntatges mecànics","Mecanitazació i manteniment de màquines"
61107,"Tècnic especialista mecànic d’armes","Mecanitazació i manteniment de màquines"
61108,"Tècnic especialista en fabricació mecànica","Mecanitazació i manteniment de màquines"
61109,"Tècnic especialista en màquines eines","Mecanitazació i manteniment de màquines"
61110,"Tècnic especialista en matriceria i motllos","Mecanitazació i manteniment de màquines"
61111,"Tècnic especialista en control de qualitat","Mecanitazació i manteniment de màquines"
61112,"Tècnic especialista en micromecànica i rellotgeria","Mecanitazació i manteniment de màquines"
61701,"Tècnic superior en processos de confecció industrial","Patronantge i confecció"
61702,"Tècnic superior en patronatge","Patronantge i confecció"
61703,"Tècnic especialista en confecció industrial de peces exteriors","Patronantge i confecció"
61704,"Tècnic especialista en confecció industrial de peces interiors","Patronantge i confecció"
61705,"Tècnic especialista en confecció a mida de senyora","Patronantge i confecció"
61706,"Tècnic especialista en producció en indústries de la confecció","Patronantge i confecció"
61707,"Tècnic especialista en sastreria i modisteria","Patronantge i confecció"
61708,"Tècnic especialista en confecció de teixits","Patronantge i confecció"
61801,"Tècnic superior en assessoria d’imatge personal",Perruqueria
61802,"Tècnic especialista en perruqueria",Perruqueria
62301,"Tècnic superior en producció en indústries d’arts gràfiques","Producció en arts gràfiques"
62302,"Tècnic especialista en composició","Producció en arts gràfiques"
62303,"Tècnic especialista en enquadernació","Producció en arts gràfiques"
62304,"Tècnic especialista en impressió","Producció en arts gràfiques"
62305,"Tècnic especialista en processos gràfics","Producció en arts gràfiques"
62306,"Tècnic especialista en reproducció fotomecànica","Producció en arts gràfiques"
62307,"Tècnic especialista en composició d’arts gràfiques","Producció en arts gràfiques"
62601,"Tècnic superior en restauració","Serveis de restauració"
62602,"Tècnic especialista en hostaleria","Serveis de restauració"
62801,"Tècnic superior en construccions metàl·liques",Soldadura
62802,"Tècnic especialista en construccions metàl·liques i soldador",Soldadura
62803,"Tècnic especialista en soldadura",Soldadura
62804,"Tècnic especialista en fabricació soldada",Soldadura
62805,"Tècnic especialista en caldereria en xapa estructural",Soldadura
62806,"Tècnic especialista en construcció naval",Soldadura
62807,"Tècnic especialista traçador naval",Soldadura
99901,"Tècnic esportiu superior – Atletisme","Ensenyaments esportius"
99902,"Tècnic esportiu – Busseig esportiu amb escafandre autònom","Ensenyaments esportius"
99903,"Tècnic esportiu – Espeleologia","Ensenyaments esportius"
99904,"Tècnic esportiu superior – Hípica","Ensenyaments esportius"
99905,"Tècnic esportiu superior – Vela amb aparell lliure","Ensenyaments esportius"
99906,"Tècnic esportiu superior – Handbol","Ensenyaments esportius"
99907,"Tècnic esportiu superior – Salvament i socorrisme","Ensenyaments esportius"
99908,"Tècnic esportiu superior – Basquetbol","Ensenyaments esportius"
99909,"Tècnic esportiu – Esgrima","Ensenyaments esportius"
99910,"Tècnic esportiu – Judo i defensa personal","Ensenyaments esportius"
99911,"Tècnic esportiu superior – Esquí alpí","Ensenyaments esportius"
99912,"Tècnic esportiu superior – Esquí de fons","Ensenyaments esportius"
99913,"Tècnic esportiu superior – Surf de neu","Ensenyaments esportius"
99914,"Tècnic esportiu superior – Futbol","Ensenyaments esportius"
99915,"Tècnic esportiu superior – Futbol sala","Ensenyaments esportius"
99916,"Tècnic esportiu superior – Alta muntanya","Ensenyaments esportius"
99917,"Tècnic esportiu superior – Escalada","Ensenyaments esportius"
99918,"Tècnic esportiu superior – Esquí de muntanya","Ensenyaments esportius"
